İstanbul;(78. Yarış Günü);12/10/2025
3;MISTER PROTEO SKG SK;5y a  a;THREE VALLEYS (USA);STELLA MIA;60,5;A.KURŞUN;HAKAN S. ÖZCAN;B.KAÇMAZ;1;%7.83(3);80;Ç1S4Ç5Ç6Ç2Ç1;32;20;
4;UMUTBEY SK;5y d  a;BUSHRANGER (IRE);KHALESSİ;60,5;E.ÇANKAYA;OKAN MALGİL;O.ALTUNTAŞ;2;%2.61(5);80;Ç6Ç2Ç4Ç4Ç1Ç6;11;19;2:10.22
5;YILDIRIMDURALİ KG DB SK;4y d  a;BODEMEISTER (USA);LOVE SONG;57,5;E.AKTUĞ;OKTAY FERHAN BİTİRMİŞ;HAK.POLAT;4;%2.04(6);74;Ç4Ç4Ç1Ç6Ç4Ç2;18;17;
6;LAST MOMENT K;3y d  e;APPROVE (IRE);CAROLINA REAPER;50 +2.00;A.ASLAN;BÜLENT TAŞÇI;S.BEKTAŞ;7 - DS;%65.34(1);66;S3S1Ç1Ç1;14;20;
7;ACAR TAY KG DB SK;5y d  a;KALİMDOR;BURANO KIZI;50 +1.60;HAK.YILDIZ;AHMET CAN KARABULUT;S.ÇİFTÇİ;3;%1.24(7);59;Ç8Ç3Ç8Ç6Ç5Ç4;14;10;2:13.89
2. 3'LÜ GANYAN;7. ÇİFTE Bu koşudan başlar;GANYAN;İKİLİ;SIRALI İKİLİ;ÜÇLÜ BAHİS

8. Kosu :  ATIF ER KOŞUSU 17.30;KV-8; 3 Yaşlı İngilizler; 58.00kg; 1500m; Sentetik;;;;Rekor Derece :1.28.19
İkramiye;;;;;Yetiştirici Primi;;;;
1.)810.000 TL;2.)324.000 TL;3.)162.000 TL;4.)81.000 TL;5.)40.500 TL;1.)194.400 TL;2.)77.760 TL;3.)38.880 TL;4.)19.440 TL;5.)9.720 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;MAGIC WEAPON KG DB;3y d  e;TIZWAY (USA);INVINCIBLE GIRL;61;A.KURŞUN;MELİS KURTEL EMİN;H.YÜZBAŞI;2;%58.46(1);89;Ç4Ç1Ç7Ç8S2Ç1;32;20;1:29.92
2;BANDOLERO KG DB SK;3y d  e;BODEMEISTER (USA);BEYBUSHKA;58;E.ÇANKAYA;SEMİH KATI;C.KATI;4;%12.45(2);79;K7K2K2S1S3S1;21;20;
3;FATHER MEHMET DB;3y d  e;VICTORY GALLOP (CAN);WIN STAR WIN;58;A.YILDIZ;VELAT BAYBAŞİN;A.BOZKURT;3;%6.42(5);84;S3K1K1Ç1S2K3;19;18;1:30.59
4;FIREBENDER KG DB SK;3y d  e;BODEMEISTER (USA);FAIR ROSE;58;V.ABİŞ;ADİL MERT KAYA;T.TAŞAR;6 - DS;%9.5(4);86;S0K6S3S1S4Ç3;11;18;1:31.39
5;QUANTUM OF SOLACE KG DB;3y k  e;GAZIBORA KHAN (GB);DIREHORSE (IRE);58;Ö.YILDIRIM;RECEP DİKKULE;Y.AKKILIÇ;5 - DS;%10.88(3);76;Ç6S0Ç4Ç2K2K2;16;19;1:30.24
6;LİVZARA KG K;3y d  d;AFTER MARKET (USA);KAPTANIN KIZI;56;K.TOKAÇOĞLU;HÜSEYİN BECENE;FERH.ALTIN;1;%2.29(6);80;K5K1S3K4K2K6;10;16;1:31.46
8. ÇİFTE Bu koşudan başlar;GANYAN;SIRALI İKİLİ

9. Kosu :   18.00;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)430.000 TL;2.)172.000 TL;3.)86.000 TL;4.)43.000 TL;5.)21.500 TL;1.)129.000 TL;2.)51.600 TL;3.)25.800 TL;4.)12.900 TL;5.)6.450 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Son 6 Yarış;KGS;s20;EnİyiDerece
1;RAIN BEAUTY SK;2y a  d;KLIMT (USA);NESLİNAZ;59;MÜS.ÇELİK;BARIŞ ÖPÇİN;G.SÜTCÜ;7;%27.23(1);36;Ç6S2S2;39;19;1:20.13
2;AMBER TREASURE K;2y a  d;KLIMT (USA);EYE IN THE SKY;57;M.KAYA;YALÇIN GÖNÜL;S.AYDOĞAN;2;%3.27(8);;Ç5Ç0;88;18;
